video_id,publishedAt,channelId,channelTitle,title,description,duration_sec,viewCount,likeCount,commentCount,tags
R-ib_pEDiyk,2023-10-26T19:11:45Z,UCRroFlqtSXHE53esbbh-edg,Max164  מקס בחמן - מלך הגומי,תתפללו שיחזורו בשלום כל החטופים👇🇮🇱🙏 #יוםהולדת #חטופים #bringthemhome #israel #שורטס,,18,33289,,84,
LweX6lT759s,2023-10-27T12:24:36Z,UCyQtn3rT-m_N8gBYe4_6iGA,אקסל מהמיק,הפגנה לא רוצים את עזה מףבמדינה,,15,222,4,9,
4B_DnbZxME0,2023-10-27T12:40:00Z,UCelk6aHijZq-GJBBB9YpReA,BBC News عربي,كيف تفاعل فنانون عرب مع حرب غزة؟,كيف تفاعل فنانون عرب مع حرب #غزة؟ #بي_بي_سي_ترندينغ,60,94235,2471,0,بي بي سي|بي بي سي نيوز|اخبار بي بي سي|بي بي سي نيوز عربي
EzQCiQrfHAM,2023-10-27T19:59:20Z,UCV8NjWBvkuvfbRvEZwEJxdQ,Television of Nomads,Palestine Protest in Downtown LA #ceasefire #freepalestine #ceasefirenow #palestine #protest #la,,18,2298,48,9,
cBc55T90mSQ,2023-10-28T02:28:30Z,UCb-qA0VHtCN99di93jyA0Lw,Downtown Boys,Gaza #ceasefire protest shuts down Grand Central Terminal in NYC #gaza #palestine #ceasefirenow,Jewish Voice for Peace held an action demanding the US government call for a ceasefire in Gaza. Grand Central was shut down for hours by thousands of supporters. https://www.jewishvoiceforpeace.org/,12,10348,365,57,
cnSNiZP4fac,2023-10-28T09:43:11Z,UC_1hg4_cLFFebMctJZ_h_2A,Simple News,רגע לפני... 7 באוקטובר מסיבת הטבע,"בסרטון שצולם במהלך מסיבת הטבע, רואים איש מכבה את המוזיקה וצועק לכולם: ""צבע אדום!",46,9850,52,4,
h5Yv3MNOysw,2023-10-28T14:22:38Z,UCrdPiSPVW0rtRsI002BX8iw,Mojo Story,Massive London Protest | Thousands Rally for Gaza Ceasefire at Pro-Palestine Demonstration,#Israel #Palestine #Gaza #palestinelivesmatter #gazaunderattack #london #shorts #viral #londonlife,18,270981,20159,2661,barkha dutt|mojo story|india news|english news|latest news in english|hindi news|hindi news today|english news today|breaking news|breaking news today|world news|news updates|latest news|latest news today|Shashi Tharoor|Shashi Tharoor Kerala|Indian Muslims|Kerala|Kerala Muslims|Malayalam news|Hamas chief addresses rally in Kerala|Malappuram|Khaled Mashal rally Kerala|Hamas rally Kerala|Kerala news|Kerala politics|Viral news|South Indian
u5jMXP7FCwc,2023-10-28T15:00:03Z,UClcI3wgsAuO-JoI57DsEUUw,Autism Essentials Israel,טיפים להורים מפונים בעקבות מלחמת חרבות ברזל #הדרכתהורים #אוטיזם,ככה תתמודדו עם חרדה ולחץ במצב מלחמה   קבלו טיפים שיעזרו לכם להעסיק את הילדים במיוחד אם פוניתם מהבית בתקופת מלחמה  #הורות #הורותמיוחדת #הדרכתהורים #מלחמה #חרבותברזל #אוטיזם #ילדיםעםצרכיםמיוחדים #ילדיםעלהרצף #טיפיםלהורים #מפונים #זכויות #מיצויזכויות,90,34,0,0,
e7ubonrhgrU,2023-10-29T14:21:59Z,UCUyIswo1ZdNu0GOvlXmHtlw,האקדמיה ללשון העברית,מילון מלחמת 'חרבות ברזל',על המונחים שמשמשים אותנו במהלך מלחמת 'חרבות ברזל'  שחקנית ויוצרת הסרטון: דורין מנדל,48,134875,5523,71,האקדמיה ללשון העברית|תפיסה|קונספציה|פייק ניוז|חדשות כזב|כשרור|לגיטימציה|אסקפיזם|בורחנות
B6TMevX1I40,2023-10-29T17:54:52Z,UCuO1BOxgIeH_6WNDsvKcIsQ,לכולי עלמא פרסום,מלחמת חרבות ברזל זוכרים ומנציחים,"מלחמת שמחת תורה תשפ""ד לכל חלל יש בית כנסת ארגון זוכרים ומנציחים",54,33,2,0,
